x1; x2; x3; y
-6.92; 33.67; 28.50; 17.59 
9.59; -40.37; 12.46; -53.64 
45.12; -45.50; 19.40; 30.72 
-19.20; -28.63; 25.30; -122.46 
-16.24; -29.00; 36.57; -123.25 
-2.39; -18.42; -22.49; -22.77 
45.70; -44.57; 17.42; 35.41 
-8.15; 4.83; 30.16; -37.23 
39.79; -29.82; 42.44; 26.19 
13.76; 48.96; 4.21; 119.45 
-49.86; 13.85; 49.43; -151.33 
22.03; -42.31; -5.14; -9.53 
29.02; -19.33; -40.19; 75.75 
-3.68; -21.08; 47.36; -82.66 
5.16; -29.35; -1.98; -36.05 
37.72; -45.84; -0.65; 24.46 
-25.40; -26.20; -19.58; -102.20 
19.32; -34.62; 8.83; -14.00 
30.51; 33.23; -39.50; 170.82 
20.03; -17.14; 3.73; 22.16 
35.93; 43.85; -47.39; 210.15 
-22.43; -31.82; -21.59; -102.26 
23.47; -0.71; -28.98; 84.48 
-8.29; -46.62; 28.51; -125.92 
-20.03; 19.24; 11.82; -31.49 
-35.06; 35.23; 9.35; -43.48 
-15.18; -0.20; -3.86; -40.28 
44.53; -26.63; 42.23; 45.02 
34.95; -1.25; -42.00; 124.98 
-20.33; 43.11; -15.00; 29.06 
-9.26; -36.36; -31.56; -66.30 
-12.98; -42.05; 30.77; -132.63 
-15.87; -36.63; -7.82; -102.65 
33.52; 18.66; 39.09; 95.65 
-28.16; 1.22; 37.03; -104.02 
-37.41; -42.18; -37.03; -150.36 
29.86; -46.33; -20.49; 16.52 
-38.08; 22.27; -28.92; -46.07 
-26.87; 32.75; -17.64; -5.13 
-42.15; -47.18; -0.52; -199.20 
-48.15; -11.81; -49.04; -118.38 
37.73; -4.30; -4.29; 99.46 
17.45; -19.93; 14.63; 2.09 
23.69; -5.40; -40.62; 85.54 
23.71; -5.91; 27.92; 33.99 
24.30; 2.51; -42.51; 102.40 
1.80; -1.58; 45.85; -32.43 
-11.49; -44.09; -19.33; -94.98 
39.32; 48.73; 20.41; 177.86 
-21.69; -17.42; -39.86; -61.64 
36.49; -17.67; 16.57; 57.33 
-5.66; -4.08; 49.12; -59.87 
-31.33; -45.68; 21.41; -182.85 
-8.20; 14.96; 3.15; 0.25 
-46.29; 6.89; -43.36; -84.89 
44.16; -48.08; 22.63; 21.18 
-16.31; 8.67; -5.44; -26.81 
28.48; -34.19; -24.44; 36.74 
49.30; 21.40; 43.84; 140.62 
-30.30; 48.08; -37.82; 26.98 
12.33; 23.44; -13.47; 84.17 
-39.36; 5.03; -7.20; -95.69 
-5.18; -38.60; 29.34; -103.96 
35.74; -11.51; 47.32; 43.22 
-49.35; 42.46; 12.30; -72.66 
-32.05; 45.06; -28.55; 10.01 
13.22; 8.45; 25.76; 31.52 
-37.57; -48.62; -38.43; -160.97 
46.49; -28.80; -21.36; 93.73 
-18.52; 42.64; -32.15; 45.94 
25.84; -25.79; 11.68; 17.32 
-39.66; -18.90; 26.47; -163.07 
39.86; 14.54; -18.66; 148.78 
27.79; 21.47; 45.96; 79.59 
37.95; -12.34; 42.10; 51.76 
-3.73; 49.97; -25.03; 94.40 
-20.08; 1.96; -45.87; -19.01 
-18.65; -15.83; 6.72; -84.92 
-47.98; -42.73; -36.70; -180.84 
-24.30; 46.57; 0.99; 12.25 
-47.24; 29.33; -29.12; -59.01 
0.08; 5.52; -28.15; 29.92 
26.68; -13.05; -18.38; 64.06 
-40.22; -35.64; 41.95; -205.21 
35.23; -31.26; 17.41; 29.57 
-48.04; -24.70; -28.47; -155.72 
38.47; -33.09; 9.31; 41.36 
11.78; 45.28; 28.31; 89.73 
24.59; -18.25; 23.76; 18.04 
26.39; 48.83; 11.67; 148.69 
-26.67; -20.31; 1.47; -111.04 
-28.81; 37.20; -23.33; 1.45 
-17.92; 36.79; -14.25; 24.18 
-35.76; -26.56; 25.74; -165.06 
34.20; -23.55; 7.18; 47.70 
-6.71; -14.18; 28.28; -64.93 
46.50; -38.56; -30.58; 83.60 
-38.39; 16.99; 10.09; -84.98 
13.33; -21.01; 22.95; -17.36 
14.02; 3.00; -24.43; 61.39 
-1.02; -9.75; 18.20; -34.00 
32.38; -1.39; 45.82; 52.63 
-1.36; 19.73; 31.37; 6.61 
22.43; -23.21; -32.15; 44.80 
-48.28; -48.78; 1.02; -220.11 
-17.27; -24.37; 24.96; -109.45 
19.74; 30.47; 6.81; 101.92 
39.21; -28.79; 17.38; 44.92 
-28.49; -33.08; 40.91; -167.49 
-49.56; 10.05; -17.68; -107.45 
1.35; 45.69; 11.43; 74.04 
0.31; 13.43; -38.79; 52.19 
47.31; 36.50; 21.20; 178.13 
-31.44; 17.46; 46.13; -91.58 
-8.75; -33.00; 24.69; -100.67 
-28.03; -5.17; -19.62; -72.86 
-2.37; 19.19; 34.77; 0.36 
-23.31; 0.64; 8.90; -70.78 
19.76; -45.53; 32.48; -49.26 
2.32; 11.30; -35.98; 51.97 
37.64; -20.63; 39.51; 38.39 
-26.54; 2.59; -36.15; -43.00 
-25.08; -16.61; 22.53; -115.79 
6.51; 7.68; -14.06; 41.06 
-4.52; -13.94; 31.91; -61.13 
45.91; 21.56; -34.65; 189.59 
-17.59; 23.26; -23.39; 8.32 
36.86; 19.47; -44.50; 168.17 
27.27; -45.39; -27.56; 16.21 
-38.72; 5.89; 24.87; -116.15 
36.10; -5.48; -43.00; 121.54 
-32.82; 30.37; -8.55; -32.48 
45.98; -36.32; -8.43; 69.67 
3.49; 47.86; 5.38; 88.22 
-46.96; -31.08; -22.33; -168.37 
-46.51; 46.87; 31.55; -71.37 
-45.91; 5.68; -49.59; -81.33 
-38.97; 45.46; -0.34; -29.33 
18.40; 15.13; -31.47; 99.84 
29.70; -10.53; -22.59; 79.92 
-0.49; 20.88; 10.59; 26.40 
-6.60; 12.70; 32.38; -20.89 
-21.02; 21.83; -49.21; 15.43 
32.67; -36.40; 41.08; -3.98 
-25.89; 7.26; -0.24; -59.65 
-44.98; 39.62; -34.86; -30.60 
-32.13; -17.12; 16.59; -131.81 
36.57; -22.36; -5.42; 65.66 
0.41; 34.70; 4.44; 57.49 
-8.81; -0.46; -26.24; -6.53 
12.54; 49.02; -32.51; 143.35 
37.48; -24.67; 27.12; 40.08 
-23.50; -24.47; 37.88; -136.44 
-28.15; -44.33; -7.82; -150.06 
-35.77; -24.53; -10.01; -135.10 
27.92; -28.23; 15.99; 15.65 
-41.31; 43.18; -17.31; -27.23 
1.58; 41.30; -29.11; 97.04 
24.32; 3.67; -5.17; 76.84 
29.91; 6.47; 34.33; 67.96 
22.63; 6.39; -41.47; 103.75 
18.11; -17.28; 27.22; -0.79 
37.60; 32.57; 13.43; 150.15 
21.84; 41.09; 10.74; 123.31 
-26.67; -30.98; -5.04; -124.79 
-26.71; -33.21; 7.74; -138.24 
-4.15; -8.23; 41.69; -57.41 
42.88; 7.40; 49.00; 94.65 
-29.29; -9.20; -18.73; -84.02 
-36.11; -26.88; 23.28; -164.76 
26.33; 10.20; -21.96; 106.19 
33.43; -46.55; 5.55; 6.76 
-24.81; 20.42; -5.40; -29.94 
23.27; 43.42; 10.42; 131.56 
-29.88; 31.21; 7.54; -34.78 
-32.26; -31.31; -28.43; -123.54 
13.71; 1.06; -19.75; 53.70 
28.82; 3.42; -47.36; 120.09 
31.03; 29.23; 2.18; 134.46 
-24.57; 48.40; 29.74; -6.59 
-46.25; 41.29; -22.78; -40.15 
16.51; -28.40; -42.31; 26.89 
-29.20; 28.07; 38.27; -61.10 
35.88; -45.10; 38.50; -8.32 
-3.37; -22.65; -29.04; -28.00 
-5.87; -8.51; -46.30; 2.45 
43.57; 39.36; -49.82; 225.30 
31.48; -19.26; -2.85; 55.06 
43.48; -33.69; 26.32; 41.60 
6.03; -1.34; 17.80; 0.46 
17.78; 34.56; 29.29; 86.97 
-11.82; 45.31; 21.33; 29.57 
-19.00; 6.60; 20.92; -57.37 
-18.73; -32.92; -2.15; -108.31 
10.72; 21.85; -31.19; 90.05 
-16.64; -18.21; 49.99; -115.51 
4.79; 25.38; 33.76; 31.71 
-39.26; -21.80; -25.10; -128.85 
-10.14; -9.72; -19.83; -31.07 
38.51; 21.98; -41.80; 175.11 
-38.96; 7.94; 45.99; -128.88 
-47.80; 38.69; 29.00; -87.29 
0.42; -47.59; -39.77; -52.95 
-6.16; -21.41; 39.63; -84.38 
-24.55; 36.00; -28.09; 14.68 
31.98; -17.08; -24.60; 76.33 
5.24; 34.39; 45.76; 39.75 
-13.29; -35.22; 34.83; -124.61 
37.71; -34.18; 47.71; 8.94 
35.97; -21.76; -26.01; 80.28 
19.69; -48.10; 17.39; -42.76 
-39.54; -18.26; 46.10; -176.15 
-5.00; 6.54; 40.72; -33.34 
24.88; -37.18; -42.26; 34.76 
-6.17; -26.54; 6.67; -68.95 
-14.55; 32.00; -29.77; 36.67 
27.53; 25.07; -8.53; 125.45 
-27.47; -13.21; 47.05; -134.63 
-47.93; 20.42; -21.16; -82.32 
-36.64; 3.48; -25.23; -77.51 
-23.53; -34.08; 4.81; -128.78 
40.65; 33.72; 3.94; 167.62 
21.27; 20.18; -42.35; 124.63 
-3.28; 37.34; -3.42; 57.68 
-47.47; 5.89; 25.75; -141.04 
4.30; 22.73; 42.13; 19.54 
-31.83; -30.03; -26.24; -121.74 
45.57; -27.92; -42.23; 108.16 
2.05; -23.46; 5.47; -39.93 
19.05; 6.66; -48.74; 99.68 
-46.12; 9.17; -39.94; -82.98 
-14.72; -8.98; -7.00; -51.96 
41.62; 36.21; -30.06; 199.80 
-42.77; -39.83; 36.27; -215.36 
45.06; -42.65; -13.61; 59.94 
-12.51; -46.70; -39.79; -87.21 
-40.28; 7.39; -41.72; -68.58 
-20.41; 30.64; -25.25; 14.72 
-46.13; 34.66; -15.59; -56.68 
23.12; -47.58; -35.78; 6.99 
19.46; 27.22; 32.45; 76.51 
-34.82; 15.99; -8.50; -63.08 
20.32; -35.12; -0.10; -5.49 
-47.92; -47.05; -8.73; -208.89 
-45.20; 39.66; -25.30; -38.21 
-32.57; 48.65; -23.62; 11.17 
-35.42; 37.44; 44.75; -66.82 
15.71; -46.89; 17.91; -52.07 
-37.90; 36.68; -19.56; -27.43 
26.65; -26.84; -32.18; 50.19 
31.72; -40.14; -29.53; 39.13 
30.51; -7.46; 36.94; 43.46 
22.23; -33.57; 35.35; -23.73 
-45.07; 32.96; -12.06; -59.31 
32.30; -20.20; 23.21; 36.41 
-45.51; -34.63; 19.05; -201.16 
33.78; -39.67; -21.78; 39.92 
11.11; -10.25; -20.66; 27.49 
-29.80; -19.65; -46.99; -82.70 
-19.91; 15.23; -46.98; 5.37 
37.01; -47.52; 27.45; -1.22 
41.89; 23.11; -47.26; 190.48 
-20.33; -47.15; -41.44; -108.43 
-19.63; -37.57; 38.43; -148.93 
47.75; 32.51; 17.51; 175.14 
-13.09; 10.45; -38.51; 9.68 
1.46; 19.50; 1.87; 35.85 
-48.26; 38.94; 7.54; -72.24 
42.32; -1.01; -10.70; 122.65 
-39.55; 32.42; -21.68; -37.84 
-41.52; -32.71; -19.63; -158.14 
-3.29; 35.05; -11.05; 59.31 
-21.26; -28.26; -23.84; -91.16 
-7.47; -21.18; 36.78; -85.50 
-43.79; 44.09; -38.52; -16.82 
33.07; -17.41; -27.49; 80.91 
46.35; -25.51; 34.11; 58.02 
18.78; -4.45; -23.09; 60.62 
-5.66; 4.24; 7.17; -14.35 
-46.86; 12.25; -16.29; -97.17 
5.69; -36.68; 30.28; -71.21 
-36.54; 20.11; -19.10; -52.83 
-49.39; -5.29; 21.30; -162.52 
45.35; -15.83; 3.72; 94.58 
-44.43; -10.82; -28.05; -121.88 
49.61; 29.26; -10.77; 195.56 
-6.32; 47.74; -31.25; 87.95 
-14.91; 32.03; -28.79; 35.00 
40.03; -40.86; 1.14; 38.20 
29.94; -19.93; -46.61; 82.01 
3.13; -9.31; -49.99; 28.72 
19.30; 15.17; 42.08; 47.98 
8.80; 35.54; 26.19; 66.10 
-42.82; 44.92; -37.71; -13.29 
-29.66; -31.57; 35.44; -164.06 
7.23; 20.95; -41.59; 86.52 
-38.90; -30.14; -46.25; -126.71 
-25.10; 27.99; 45.69; -55.38 
2.98; 29.19; -1.58; 59.47 
46.34; -36.42; 36.88; 36.96 
-41.47; 16.79; -7.26; -81.02 
-35.31; -36.46; -27.88; -141.36 
-10.12; -45.07; 28.44; -128.24 
7.25; 42.21; -27.56; 113.18 
-18.30; 18.97; 21.15; -34.07 
36.82; 39.15; -16.97; 181.93 
-29.53; -21.74; -39.73; -90.97 
30.08; -14.39; -32.47; 81.57 
37.73; 14.14; 0.00; 128.38 
-22.88; -28.23; -27.33; -93.01 
-4.98; -43.82; -41.20; -60.29 
-6.51; -15.16; -34.38; -19.71 
-28.34; 16.89; -49.02; -13.58 
4.95; -47.94; -7.23; -65.09 
-20.31; -31.43; 46.28; -145.93 
-1.98; -40.11; -34.39; -50.57 
33.83; -47.50; -39.23; 39.35 
-40.36; 29.58; 5.02; -64.78 
4.20; -9.67; -14.27; 4.63 
-46.29; -12.51; 14.43; -161.41 
-11.68; -3.06; -43.65; -6.12 
-12.88; -1.13; -5.54; -34.28 
11.51; 6.83; 37.62; 15.19 
45.69; 4.13; -9.05; 139.70 
37.51; 49.61; 3.37; 186.99 
16.37; -36.46; -20.96; -3.33 
-42.66; 35.04; 33.00; -82.36 
18.58; 43.43; 12.71; 116.89 
-7.21; 43.71; 16.66; 43.02 
31.54; 33.84; 16.17; 133.54 
-24.87; 27.93; -30.42; 1.48 
47.22; -27.09; 18.58; 69.17 
43.15; 8.41; -39.17; 162.40 
6.01; -37.35; -7.79; -43.32 
2.55; -9.40; -49.38; 26.51 
40.74; -21.40; 46.32; 40.60 
-31.41; 38.60; -34.25; 4.76 
48.86; -48.07; -44.23; 83.69 
43.03; -9.66; -26.83; 121.50 
-7.85; -33.11; -14.02; -69.72 
-9.70; -24.33; -16.04; -58.07 
19.46; -8.04; -6.80; 44.21 
-37.77; 24.55; 2.43; -64.44 
29.50; 49.20; -31.80; 190.11 
30.48; -12.92; -36.09; 87.92 
-39.52; -13.32; 34.55; -158.95 
26.73; 3.93; 34.47; 54.63 
-5.15; 12.57; 17.41; -6.02 
-47.69; -39.05; 40.12; -230.48 
32.78; 14.96; 37.95; 88.01 
18.67; 16.59; 37.42; 52.15 
22.53; -36.65; 5.90; -6.47 
-30.23; 29.18; -21.36; -17.90 
-31.36; -38.40; 40.37; -184.30 
-6.34; 13.47; 7.46; -0.38 
2.54; -29.64; -19.35; -30.96 
-29.60; -39.76; -30.22; -129.55 
22.09; -10.89; 7.56; 35.91 
17.38; -25.49; -13.15; 12.78 
19.46; -28.75; -32.36; 27.09 
-10.38; -34.34; -44.41; -56.38 
-34.77; 3.93; -2.85; -88.11 
35.60; 36.12; -0.10; 160.79 
35.74; 23.96; -45.07; 173.30 
24.26; 46.07; -49.70; 183.40 
4.64; -2.19; 35.47; -17.95 
23.92; 27.05; 34.51; 87.05 
-47.54; 13.42; 48.72; -145.13 
-46.29; -11.21; -18.76; -134.59 
22.16; -34.60; -33.24; 25.04 
-26.36; -45.51; 34.16; -178.22 
-43.20; 42.69; -47.40; -11.05 
20.30; 28.42; 6.72; 99.97 
1.74; 17.14; 45.76; 0.04 
-35.47; -5.94; 23.44; -126.67 
-4.53; -34.90; 36.49; -101.02 
-28.63; -3.32; -8.94; -79.21 
-17.86; -3.47; -48.72; -20.20 
-36.03; -8.58; 48.98; -151.72 
-35.44; 35.73; -48.02; -1.20 
16.51; 26.76; 40.48; 61.60 
6.40; 12.85; -48.55; 75.27 
20.21; 22.95; -19.62; 109.69 
-4.71; 38.72; -18.30; 67.13 
-33.46; -38.62; 31.14; -183.67 
20.18; 10.91; -40.15; 103.85 
23.12; 18.87; -30.17; 118.46 
21.60; 30.42; -20.40; 127.12 
-7.31; -42.42; -16.25; -82.77 
0.50; -38.75; -42.18; -35.57 
38.55; -31.64; -12.53; 60.26 
1.15; -34.39; -42.32; -26.08 
-16.81; 25.06; -7.13; 1.58 
16.35; 35.12; -34.80; 131.41 
-33.46; -29.99; -24.30; -127.62 
-28.98; -25.58; 18.67; -139.34 
-15.18; -28.70; 10.02; -100.14 
-23.34; -16.49; 31.92; -117.71 
-34.88; -23.35; -22.04; -121.68 
-50.00; 35.72; -14.02; -66.71 
42.43; 33.14; -22.07; 190.79 
37.61; -45.00; -47.60; 60.36 
-45.77; -31.60; 12.94; -192.08 
11.62; -42.45; 34.82; -68.18 
-45.79; -44.32; -18.84; -190.75 
48.02; -17.55; 43.07; 69.87 
-45.85; 26.07; 17.42; -95.27 
-32.67; 39.82; 49.78; -58.79 
29.92; 29.31; 38.12; 104.93 
-46.01; -35.59; 40.31; -219.94 
38.84; 0.56; -28.35; 128.80 
-47.97; 23.54; -33.46; -67.90 
42.21; -6.93; -43.18; 136.08 
30.65; -2.93; 42.10; 47.91 
20.25; -6.86; -46.27; 77.66 
-27.28; -42.79; -43.21; -118.78 
-9.76; -40.14; -39.36; -68.49 
2.47; -17.30; -26.06; -4.72 
-17.50; 10.15; -35.49; -5.29 
29.37; 29.18; -1.08; 132.19 
-0.19; -26.62; 40.39; -77.47 
28.97; 38.26; -27.03; 166.08 
-35.08; -3.81; -36.73; -77.36 
-20.44; -20.14; -48.45; -56.55 
-3.86; 16.73; -37.83; 45.67 
-31.96; -48.49; 27.76; -194.18 
42.28; -47.61; 29.70; 11.56 
-27.02; -17.39; 14.51; -116.58 
18.03; 11.86; 8.72; 63.39 
-27.60; -47.05; 16.98; -171.62 
-34.42; -5.46; 16.71; -117.95 
27.22; 43.65; -1.35; 151.61 
-2.77; 40.69; -16.26; 74.42 
35.76; -38.23; -37.00; 59.17 
13.52; -46.74; 8.62; -51.00 
-39.61; -43.33; 4.40; -189.11 
-15.89; 37.68; 39.99; -8.78 
-38.71; -2.92; -41.33; -82.46 
39.34; 24.67; 17.89; 137.92 
-26.68; -27.21; 10.86; -130.03 
-28.83; 46.31; -16.28; 12.03 
2.86; -16.64; -42.43; 9.63 
-47.45; -47.93; -13.92; -205.27 
-20.10; -46.16; 28.68; -157.96 
0.04; -17.02; 48.58; -66.19 
17.62; -12.13; -43.48; 59.14 
-41.45; -46.34; 34.50; -221.72 
24.81; -45.43; 14.30; -21.65 
-1.15; -48.27; -13.09; -78.23 
46.62; -4.53; 45.28; 87.01 
1.99; -29.75; -22.35; -30.45 
-31.53; -32.47; 9.39; -151.52 
25.12; 8.69; -45.33; 117.51 
-36.27; 24.88; 1.56; -59.07 
-14.14; -13.43; -30.17; -40.95 
12.22; 4.17; 41.50; 9.66 
25.19; -3.75; -29.87; 84.62 
35.42; 15.08; -27.73; 144.13 
29.30; -42.74; -3.62; 8.73 
-5.35; 18.20; 17.57; 3.11 
-17.31; 3.18; -20.41; -28.05 
-45.03; -31.22; 3.87; -182.66 
-34.61; -49.13; -13.94; -171.78 
2.58; -17.10; -49.19; 13.05 
-0.68; 13.59; -34.36; 46.45 
27.57; -46.05; -26.47; 15.09 
27.74; 9.15; 22.07; 75.69 
29.25; 41.26; 31.19; 128.99 
29.29; -3.72; 25.06; 55.38 
-48.96; 16.62; 16.14; -119.38 
1.29; 8.96; 40.93; -11.86 
27.91; -27.43; 1.42; 27.79 
-48.80; 14.49; -9.81; -103.44 
15.20; -15.66; -33.34; 38.79 
9.17; 17.88; 22.27; 39.29 
48.56; 32.78; -34.31; 216.20 
-18.40; 33.54; -49.61; 43.36 
47.53; 34.94; -42.48; 223.15 
-24.48; 35.30; -45.37; 26.45 
-36.82; -41.27; 43.90; -207.03 
-30.90; 41.89; 13.38; -23.35 
-39.61; -49.76; 33.46; -221.80 
48.52; 16.39; 14.13; 151.72 
-13.01; 46.98; 41.51; 14.25 
-43.15; -38.49; -21.66; -171.21 
-43.14; 27.58; 25.26; -90.94 
29.77; -33.87; -16.27; 34.83 
25.93; 48.54; 15.60; 144.00 
41.14; -30.69; -20.59; 75.05 
3.99; -29.59; -44.56; -8.20 
-41.45; -0.90; -26.42; -97.57 
-33.15; -48.49; -37.34; -149.31 
